feature,mean_importance
feature_47,-0.0016025091313160767
feature_9,-0.0014110088539108113
feature_14,-0.0007480271454237686
feature_76,-0.0005352915393658896
feature_80,-0.0004778742141956727
feature_43,-0.0003954576760085482
feature_52,-0.00036891723249035115
feature_97,-0.00021056949344646635
feature_55,-0.0001833478023882451
feature_96,-0.00011185179860384586
feature_95,8.930187057853978e-05
feature_30,0.0002645603868349555
feature_90,0.00032195263117136276
feature_31,0.0004956750858790881
feature_70,0.0006240827037484297
feature_36,0.00065960900217934
feature_81,0.0006682169858437837
feature_28,0.0009931845198716926
feature_62,0.0010079727943040017
feature_77,0.001022967765654381
feature_86,0.001132055139742394
feature_74,0.001144702997368463
feature_98,0.0011489986943751473
feature_50,0.0011588658219337856
feature_65,0.0012999067219249926
feature_29,0.0013040602677125701
feature_24,0.0013313179745281678
feature_75,0.00147941395956539
feature_10,0.0014873113289674666
feature_13,0.0015396884369349717
feature_15,0.0019257558825169995
feature_73,0.0021419501857520284
feature_92,0.002391021000681226
feature_41,0.00239110693149438
feature_82,0.002414668657823116
feature_91,0.0024344436659491375
feature_94,0.0024780074816457276
feature_6,0.002551893951076023
feature_16,0.002587982967652258
feature_20,0.0028472966254000863
feature_78,0.0029445956020938803
feature_88,0.0029871530421070823
feature_89,0.0030544262583381164
feature_38,0.0030751292186978587
feature_2,0.003141868038044904
feature_12,0.003144587734494908
feature_84,0.003163698072819976
feature_54,0.0035191651888069942
feature_22,0.003724876416613454
feature_49,0.003727968307370344
feature_46,0.0037733076525154007
feature_93,0.003901606819716741
feature_79,0.003933005303310933
feature_1,0.004292605901310265
feature_87,0.004434231830380164
feature_23,0.004488771079270926
feature_57,0.0046764295797192545
feature_42,0.004680329047703302
feature_7,0.004987116940199843
feature_56,0.005025514660214348
feature_11,0.005320959856567287
feature_21,0.005347355459738856
feature_27,0.005438362715148903
feature_32,0.005761483457828098
feature_71,0.006197174368547853
feature_39,0.00666684915285527
feature_99,0.006826251304612207
feature_5,0.007164503488144102
feature_100,0.007902398784190523
feature_59,0.00858962635644751
feature_66,0.008618671145495638
feature_4,0.008670468391767883
feature_48,0.009130124528443884
feature_58,0.009262544975329523
feature_3,0.00989513804095259
feature_34,0.011204782596184381
feature_40,0.011302257624039247
feature_85,0.011417219413496448
feature_83,0.012216981476423427
feature_63,0.012719928374432653
feature_45,0.013077652679102192
feature_17,0.014840632130881692
feature_69,0.018696969284916154
feature_67,0.01961238942308896
feature_51,0.020678566955325127
feature_33,0.021592496245712377
feature_64,0.022245234843745743
feature_8,0.025173003579335673
feature_72,0.026594593494322825
feature_18,0.02736579417780798
feature_60,0.027398661076066567
feature_61,0.02961099105704934
feature_53,0.029853868929000837
feature_25,0.03209323459333417
feature_68,0.034399865029929796
feature_26,0.037343218921302254
feature_19,0.038955335898218
feature_44,0.062261513834640424
feature_35,0.06720683762462612
feature_37,0.07213574390863853
