feature,mean_importance
feature_22,-0.004015467317648258
feature_15,-0.0021037339177307325
feature_16,-0.0016816769943513777
feature_56,-0.0011487076209675483
feature_28,-0.0008879939394757397
feature_89,-0.0007570843033414931
feature_55,-0.0007059299203133751
feature_75,-0.00028518959482657367
feature_91,-0.00025035402075470616
feature_50,0.00020845788129395527
feature_62,0.00021089832025726895
feature_79,0.0003054045829715468
feature_80,0.00031521039505630897
feature_98,0.0004920537901334399
feature_84,0.0005679153859940112
feature_74,0.0006151704199595321
feature_57,0.0011144935944956912
feature_52,0.001195577031761008
feature_42,0.0013008620183300624
feature_78,0.0013720093809981072
feature_88,0.0013999133646037886
feature_36,0.0015058555158150356
feature_31,0.0015390681235880831
feature_81,0.0016071281001132532
feature_14,0.0016339554497673658
feature_86,0.0018125702477933547
feature_13,0.0018688803365148666
feature_24,0.0019070596057631616
feature_96,0.0019184611997481893
feature_29,0.001996077398423002
feature_7,0.0020385565183077548
feature_76,0.002220420732908246
feature_90,0.0022807995092101407
feature_4,0.0023569825050675066
feature_47,0.002449267895315277
feature_43,0.002554566813130399
feature_92,0.002592961702920249
feature_6,0.0028352736010271106
feature_9,0.0029460575756310005
feature_27,0.0029947740122277635
feature_39,0.0030532524741571977
feature_54,0.003128230943136456
feature_65,0.0033993731232886846
feature_66,0.0034563800201051764
feature_23,0.00376531194662888
feature_38,0.0038700273131432096
feature_94,0.004059360748915752
feature_46,0.0041512058851939536
feature_10,0.004187289872809474
feature_97,0.004405043937474695
feature_70,0.004408483431484855
feature_20,0.004455954103475546
feature_5,0.00460913707775652
feature_2,0.004751317033242675
feature_87,0.005157042181941285
feature_30,0.005225232601760599
feature_45,0.005282492952129436
feature_93,0.005289470255495488
feature_1,0.005326319525438961
feature_12,0.00557355102582755
feature_77,0.005684430811459551
feature_95,0.006056512764318844
feature_21,0.006545631133721863
feature_73,0.006590424124354888
feature_83,0.006863707826432019
feature_32,0.006933633779627279
feature_63,0.006973759899527754
feature_82,0.007395265366126269
feature_41,0.008645790923693641
feature_17,0.009190139191149683
feature_71,0.00955007705079176
feature_11,0.01085346255218016
feature_99,0.012006099391917945
feature_40,0.013219709948032144
feature_85,0.013896841676858451
feature_49,0.014101882101284314
feature_58,0.014110442426579639
feature_48,0.014302532867010376
feature_61,0.016162798551042322
feature_67,0.017882183550709495
feature_59,0.01916049018251349
feature_72,0.01941859310589167
feature_100,0.02060949056515251
feature_34,0.02164668515278889
feature_51,0.022333286759381267
feature_64,0.02525418834503155
feature_33,0.02602886000341853
feature_3,0.027155182212198415
feature_26,0.027868821954349567
feature_53,0.029965067271610635
feature_69,0.032182444535474516
feature_35,0.033612590663206966
feature_18,0.033621686069584225
feature_25,0.03693689531083204
feature_19,0.03918590218605829
feature_8,0.0491475220057942
feature_60,0.05504737036175163
feature_44,0.057219972069343615
feature_37,0.06309845699951222
feature_68,0.06572623455104691
