feature,mean_importance
feature_38,-0.001140733534977212
feature_92,-0.000893807024715998
feature_22,-0.0006055251492289582
feature_75,-0.0005795625313001152
feature_84,-0.00044446413038039533
feature_36,-0.00036339236621674154
feature_12,-1.963070762820429e-05
feature_2,5.3031136887260466e-05
feature_55,0.00018250691525536488
feature_62,0.00025633035093879374
feature_81,0.0004159636591761995
feature_20,0.000465050618360241
feature_52,0.0005508253600273072
feature_97,0.0005574044777897358
feature_10,0.0005766195416343267
feature_7,0.0007491005363015057
feature_96,0.0007709325158622882
feature_91,0.0009487338088634445
feature_98,0.0009596811668861838
feature_89,0.0009698378175498901
feature_24,0.0010902199168113524
feature_21,0.001249337569871689
feature_46,0.0013023381595666627
feature_31,0.0013408468356552073
feature_42,0.0014197733320899576
feature_13,0.0014577089674115973
feature_74,0.0014674420250360143
feature_14,0.0015461440467039234
feature_16,0.0017151109671499575
feature_82,0.0017278456345376503
feature_57,0.0017673483637937082
feature_43,0.0017833641026164583
feature_70,0.001822335682245302
feature_15,0.0019208890564478276
feature_73,0.0020066241372420192
feature_56,0.0020340391468717245
feature_28,0.002139381827718401
feature_80,0.002204986705378631
feature_6,0.002234161339119045
feature_94,0.002425298403760312
feature_29,0.002625272203806106
feature_88,0.002658600623146756
feature_27,0.002873640163006086
feature_95,0.0028774951724908513
feature_76,0.0030496772503955773
feature_30,0.003193861202160209
feature_54,0.0032229196433901874
feature_50,0.003236574604126452
feature_90,0.003297514058895934
feature_77,0.0033268226055040316
feature_23,0.00338110825906357
feature_49,0.003510949000473995
feature_41,0.0036011422502200572
feature_47,0.0037445486524999793
feature_99,0.003788476964871679
feature_9,0.003968771437869845
feature_66,0.004141534686080717
feature_86,0.0041657016383342075
feature_45,0.0044650715125380104
feature_59,0.004871301794182159
feature_83,0.0051290720052713954
feature_78,0.005189370442578922
feature_93,0.005214331687841467
feature_3,0.005474662158889343
feature_4,0.005561709258693903
feature_87,0.0057826304328302495
feature_11,0.005937885483519612
feature_79,0.006417801766469689
feature_5,0.006696833107740674
feature_39,0.006749545478723573
feature_32,0.0070832465718161375
feature_65,0.00835754087165268
feature_100,0.008479415898487486
feature_48,0.008813864358181078
feature_71,0.00964060424442197
feature_69,0.009879014823598408
feature_1,0.010651894096792569
feature_85,0.010973410786258065
feature_34,0.013842243829901558
feature_58,0.013871427960873105
feature_63,0.014947153457411511
feature_51,0.01804758486843261
feature_17,0.01901310102899132
feature_40,0.01915078570927482
feature_33,0.020789041835475787
feature_67,0.02192631609899891
feature_26,0.02441882524807617
feature_60,0.02494916618048868
feature_64,0.025562569046614737
feature_72,0.02799185287083421
feature_61,0.028598155350255783
feature_8,0.029138832947664794
feature_25,0.02916384205848741
feature_68,0.044499810160316365
feature_53,0.04520837496592382
feature_19,0.049086000484708944
feature_44,0.06562610702316449
feature_35,0.06590646429225973
feature_18,0.07788878281088438
feature_37,0.08399788776981576
